ΚΩΔ. ΣΧΟΛΗΣ,ΟΝΟΜΑ ΣΧΟΛΗΣ,ΝΕΟΕΛΛΗΝΙΚΗ ΓΛΩΣΣΑ ΚΑΙ ΛΟΓΟΤΕΧΝΙΑ,ΜΑΘΗΜΑΤΙΚΑ,ΠΛΗΡΟΦΟΡΙΚΗ,ΟΙΚΟΝΟΜΙΑ
369,ΠΛΗΡΟΦΟΡΙΚΗΣ ΜΕ ΕΦΑΡΜΟΓΕΣ ΣΤΗ ΒΙΟΙΑΤΡΙΚΗ (ΛΑΜΙΑ),25%,25%,30%,20%
1435,ΠΟΛΙΤΙΣΜΟΥ ΚΑΙ ΔΗΜΙΟΥΡΓΙΚΩΝ ΜΕΣΩΝ ΚΑΙ ΒΙΟΜΗΧΑΝΙΩΝ (ΒΟΛΟΣ),30%,20%,20%,30%
1436,ΣΥΣΤΗΜΑΤΩΝ ΕΝΕΡΓΕΙΑΣ (ΛΑΡΙΣΑ),25%,25%,25%,25%
1439,ΨΗΦΙΑΚΩΝ ΣΥΣΤΗΜΑΤΩΝ (ΛΑΡΙΣΑ),20%,25%,30%,25%
1241,ΑΓΩΓΗΣ ΚΑΙ ΦΡΟΝΤΙΔΑΣ ΣΤΗΝ ΠΡΩΙΜΗ ΠΑΙΔΙΚΗ ΗΛΙΚΙΑ (ΙΩΑΝΝΙΝΑ),34%,22%,22%,22%
1244,ΛΟΓΙΣΤΙΚΗΣ ΚΑΙ ΧΡΗΜΑΤΟΟΙΚΟΝΟΜΙΚΗΣ (ΠΡΕΒΕΖΑ),20%,30%,20%,30%
1248,ΜΟΥΣΙΚΏΝ ΣΠΟΥΔΏΝ {ΑΡΤΑ),30%,,20%,
345,ΟΙΚΟΝΟΜΙΚΩΝ ΕΠΙΣΤΗΜΏΝ (ΙΩΑΝΝΙΝΑ),25%,25%,25%,25%
130,ΠΑΙΔΑΓΩΓΙΚΌ ΔΗΜΟΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ (ΙΩΑΝΝΙΝΑ),25%,25%,25%,25%
156,ΠΑΙΔΑΓΩΓΙΚΌ ΝΗΠΙΑΓΩΓΏΝ (ΙΩΑΝΝΙΝΑ),30%,20%,30%,20%
1250,ΠΛΗΡΟΦΟΡΙΚΗΣ ΚΙΙ.Ι ΤΗΛΕΠΙΚΟΙΝΩΝΙΩΝ {ΑΡΤΑ),23%,23%,31%,23%
216,ΕΠΙΣΤΗΜΗΣ ΥΠΟΛΟΓΙΣΤΏΝ (ΗΡΑΚΛΕΙΟ),26%,27%,27%,20%
321,ΟΙΚΟΝΟΜΙΚΏΝ ΕΠΙΣΤΗΜΏΝ (ΡΕΘΥΜΝΟ),25%,30%,20%,25%
132,ΠΑΙΔΑΓΩΓΙΚΟ ΔΗΜΟΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ (ΡΕΘΥΜΝΟ),25%,25%,25%,25%
158,ΠΑΙΔΑΓΩΓΙΚΟ ΠΡΟΣΧΟΛΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ (ΡΕΘΥΜΝΟ),40%,20%,20%,20%
1276,"ΑΛΙΕΙΑΣ ΚΑΙ ΥΔΑΤΟΚΑΛΛΙΕΡΓΕΙΩΙ, (ΜΕΣΟΛΟΓΓΙ)",20%,27%,27%,26%
352,ΔΙΟΙΚΗΣΗΣ ΕΠΙΧΕΙΡΗΣΕΩΝ (ΠΑΤΡΑ),25%,25%,25%,25%
1283,ΔΙΟΙΚΗΣΗΣ ΤΟΥΡΙΣΜΟΥ (ΠΑΤΡΑ),25%,25%,25%,25%
1282,ΔΙΟΙΚΗΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΤΕΧΝΟΛΟΓΙΑΣ (ΠΑΤΡΑ),20%,20%,30%,30%
1286,ΕΠΙΣΤΗΜΩΝ ΤΗΣ ΕΚΠΑΙΔΕΥΣΗΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗΣ ΕΡΓΑΣΙΑΣ (ΠΑΤΡΑ),28%,28%,24%,20%
136,ΕΠΙΣΤΗΜΩΝ ΤΗΣ ΕΚΠΑΙΔΕΥΣΗΣ ΚΑΙ ΤΗΣ ΑΓΩΓΗΣ ΣΤΗΝ ΠΡΟΣΧΟΛΙΚΗ ΗΛΙΚΙΑΣ. (ΠΑΤΡΑ),40%,20%,20%,20%
319,ΟΙΚΟΝΟΜΙΚΩΝ ΕΠΙΣΤΗΜΩΝ (ΠΑΤΡΑ),26%,26%,20%,28%
336,ΒΙΟΜΗΧΑΝΙΚΗΣ ΔΙΟΙΚΗΣΗΣ ΚΑΙ ΤΕΧΝΟΛΟΓΙΑΣ {ΠΕΙΡΑΙΑΣ),20%,35%,25%,20%
355,ΔΙΕΘΝΩΝ ΚΑΙ ΕΥΡΩΠΑΙΚΩΝ ΣΠΟΥΔΩΝ {ΠΕΙΡΑΙΑΣ),30%,20%,20%,30%
157,ΝΑΥΤΙΛΙΑΚΩΝ ΣΠΟΥΔΩΝ {ΠΕΙΡΑΙΑΣ),20%,30%,20%,30%
315,ΟΙΚΟΝΟΜΙΚΗΣ ΕΠΙΣΤΗΜΗΣ {ΠΕΙΡΑΙΑΣ),20%,30%,20%,30%
316,ΟΡΓΑΝΩΣΗΣ ΚΑΙ ΔΙΟΙΚΗΣΗΣ ΕΠΙΧΕΙΡΗΣΕΩΝ {ΠΕΙΡΑΙΑΣ),20%,20%,30%,30%
339,ΠΛΗΡΟΦΟΡΙΚΗΣ (ΠΕΙΡΑΙΑΣ),25%,25%,30%,20%
318,ΣΤΑΤΙΣΤΙΚΗΣ ΚΑΙ ΑΣΦΑΛΙΣΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ {ΠΕΙΡΑΙΑΣ),20%,30%,25%,25%
375,ΤΟΥΡΙΣΤΙΚΩΝ ΣΠΟΥΔΩΝ {ΠΕΙΡΑΙΑΣ),25%,25%,25%,25%
155,ΧΡΗΜΑΤΟΟΙΚΟΝΟΜΙΚΗΣ ΚΑΙ ΤΡΑΠΕΖΙΚΗΣ ΔΙΟΙΚΗΤΙΚΗΣ (ΠΕΙΡΑΙΑΣ),25%,25%,25%,25%
262,ΨΗΦΙΑΚΩΝ ΣΥΣΤΗΜΑΤΩΝ (ΠΕΙΡΑΙΑΣ),20%,30%,30%,20%
1514,ΔΙΟΙΚΗΣΗΣ ΕΠΙΧΕΙΡΗΣΕΩΝ ΚΑΙ ΟΡΓΜΙΣΜΩΝ (ΚΑΛΑΜΑΤΑ),20%,20%,25%,35%
1518,ΔΙΟΙΚΗΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΤΕΧΝΟΛΟΓΙΑΣ (ΤΡΙΠΟΛΗ),25%,25%,25%,25%
1513,ΛΟΓΙΣΤΙΚΗΣ ΚΑΙ ΧΡΗΜΑΤΟΟΙΚΟΝΟΜΙΚΗΣ (ΚΑΛΑΜΑΤΑ),20%,25%,25%,30%
361,ΟΙΚΟΝΟΜΙΚΏΝ ΕΠΙΣΤΗΜΏΝ (ΤΡΙΠΟΛΗ),20%,30%,20%,30%
400,ΟΡΓΜΩΣΗΣ ΚΑΙ ΔΙΑΧΕΙΡΙΣΗΣ ΑΘΛΗΤΙΣΜΟΥ (ΣΠΑΡΤΗ),20%,20%,30%,30%
1517,ΠΑΡΑΣΤΑΤΙΚΩΝ ΚΑΙ ΨΗΦΙΑΚΏΝ TEXNCN (ΝΑΥΠΛΙΟ),25%,25%,25%,25%
98,ΠΛΗΡΟΦΟΡΙΚΗΣ ΚΑΙ ΤΗΛΕΠΙΚΟΙΝΩΝΙΩΝ (ΤΡΙΠΟΛΗ),25%,25%,25%,25%
1519,ΨΗΦΙΑΚΩΝ ΣΥΣΤΗΜΑΤΩΝ {ΣΠΑΡΤΗ),22%,22%,28%,28%
124,ΔΗΜΟΣΙΑΣ ΔΙΟΙΚΗΣΗΣ (ΑΘΗΝΑ),25%,25%,25%,25%
179,"ΔΙΕΘΝΩΝ, ΕΥΡΩΠΑΊΚΩΝ ΚΑΙ ΠΕΡΙΦΕΡΕΙΑΚΩΝ ΣΠΟΥΔΩΝ {ΑΘΗΝΑ)",30%,20%,20%,30%
159,ΚΟΙΝΩΝΙΚΗΣ ΠΟΛΙΤΙΚΗΣ {ΑΘΗΝΑ),30%,20%,20%,30%
152,ΟΙΚΟΝΟΜΙΚΗΣ ΚΑΙ ΠΕΡΙΦΕΡΕΙΑΚΗΣ ΑΝΑΠΤΥΞΗΣ {ΑΘΗΝΑ),25%,25%,25%,25%
230,ΜΗΧΑΝΙΚΩΝ ΠΑΡΑΓΩΓΗΣ ΚΑΙ ΔΙΟΙΚΗΣΗΣ (ΧΑΝΙΑ),20%,30%,25%,25%
877,ΑΞΙΩΜΑΤΙΚΩΝ ΠΥΡΟΣΒΕΣΤΙΚΗΣ ΑΚΑΔΗΜΙΑΣ (ΜΟΝΟ ΓΙΑ ΠΟΛΙΤΕΣ),20%,30%,20%,30%
871,ΑΞΙΩΜΑΤΙΚΩΝ ΠΥΡΟΣΒΕΣΤΙΚΗΣ ΑΚΑΔΗΜΙΑΣ (ΜΟΝΟ ΓΙΑ ΠΥΡΟΣΒΕΣΤΕΣ),20%,30%,20%,30%
876,ΣΧΟΛΗ ΓΙΥΡΟΣΒΕΣΤΩΝ (ΜΟΝΟ ΓΙΑ ΠΟΛΙΤΕΣ),20%,30%,20%,30%
886,ΙΚΑΡΩΝ (ΣΙ) ΔΙΟΙΚΗΤΙΚΩΝ,35%,20%,25%,20%
885,ΙΚΑΡΩΝ (ΣΙ) ΕΡΕΥΝΡ.Σ ΠΛΗΡΟΦΟΡΙΚΗΣ,25%,20%,35%,20%
887,ΙΚΑΡΩΝ (ΣΙ) ΕΦΟΔΙΑΣΤΩΝ,25%,20%,25%,30%
863,ΜΟΝΙΜΩΝ ΥΠΑΞΙΩΜΑΤΙΚΩΝ ΣΤΡΑΤΟΥ (Σ.Μ.Υ.) -ΣΩΜΑΤΑ,20%,30%,30%,20%
880,ΜΟΝΙΜΩΝ ΥΠΑΞΙΩΜΑΤΙΚΩΝ ΑΕΡΟΠΟΡΙΑΣ (ΣΜΥΑ) - ΚΑΤΕΥΘΥΝΣΗ ΔΙΟΙΚΗΤΙΚΗΣ ΚΑΙ ΕΦΟΔΙΑΣΤΙΚΗΣ ΥΠΟΣΤΗ ΡΙΞΗΣ,25%,30%,25%,20%
864,ΜΟΝΙΜΩΝ ΥΠΑΞΙΩΜΑΤΙΚΩΝ ΝΑΥΤΙΚΟΥ {Σ.Μ.Υ.Ν.),30%,30%,20%,20%
867,ΟΙΚΟΝΟΜΙΚΟ {ΣΣΑΣ) ΘΕΣ/ΝΙΚΗ,25%,25%,20%,30%
889,ΠΛΗΡΟΦΟΡΙΚΗΣ (ΣΣΑΣ) ΘΕΣ/ΝIΚ-j,25%,20%,35%,20%
356,ΓΕΩΓΡΑΦΙΑΣ (ΑΘΗΝΑ),25%,25%,25%,25%
144,ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ Β ΩΣΙΜΗΣ ΑΝΑΠΤΥΞΗΣ {ΑΘΗ ΝΑ),23%,30%,20%,27%
412,ΠΛΗΡΟΦΟΡΙΚΗΣ ΚΙΙ.Ι ΤΗΛΕΜΑΤΙΚΗΣ (ΑΘΗ Α),20%,30%,30%,20%
